ATK-terminaal	ATK-terminaal+N+Sg+Nom
miäcástuđ	miäcástiđ+V+Der/Pass+V+IV+Inf
miäcástuđ	miäcástiđ+V+Der/Pass+V+IV+Imprt+Pl2

miälkkáá	miälkkáá+A+Sg+Nom


modernistiđ	modernistiđ+V+Inf

moigârdiđ	moigârdiđ+V+Inf
moigârdiđ	moigârdiđ+V+Imprt+Pl2

mongoliacivkkee	mongoliacivkkee+N+Sg+Nom







munnáá	munnáá+A+Sg+Nom

muorrii	muorriđ+V+Imprt+Sg2
muorrii	muorriđ+V+Imprt+ConNeg
muorrii	muorriđ+V+Ind+Prs+ConNeg
muorrii	muorrii+A+Sg+Nom

muottuuttem	muotâ+N+Der/Car+A+Sg+Nom
muottuuttem	muottuuttem+A+Sg+Nom
muottuuttem	muottuđ+V+Der/tt+V+Actio+Nom
muottuuttem	muottuđ+V+Der/tt+V+Der/NomAct+N+Sg+Nom

muotâkamuvväzzim	muotâkamuvväzzim+N+Sg+Nom

muáccuđ	muáccuđ+V+Imprt+Pl2
muáccuđ	muáccuđ+V+Inf

muáikkuđ	muáikkuđ+V+Imprt+Pl2
muáikkuđ	muáikkuđ+V+Inf


muáđusâš	muáđusâš+A+Sg+Nom
muáđusâš	muáđusâš+A+Attr


muđusâš	muđusâš+A+Sg+Nom
muđusâš	muđusâš+A+Attr



mánudááaččinj	mánudâš+N+Cmp/SgGen+Cmp#aččinj+N+Sg+Nom

mánuvuáđu	máánu+N+Cmp/SgNom+Cmp#vuáđu+N+Sg+Nom
mánuvuáđu	máánu+N+Cmp/SgGen+Cmp#vuáđu+N+Sg+Nom
mánuvuáđu	mánuvuáđu+N+Sg+Nom

naverseemi	naver+N+Cmp/SgNom+Cmp#seemi+N+Sg+Nom
naverseemi	naverseemi+N+Sg+Nom

neskiđ	neskiđ+V+Inf
neskiđ	neskiđ+V+Imprt+Pl2

niälguđ	niälguđ+V+Inf
niälguđ	niälguđ+V+Imprt+Pl2
niälguđ	niälguđ+V+Der/Pass+V+IV+Inf


njettipäinee	njetti+N+Cmp/SgNom+Cmp#päiniđ+V+Der/NomAg+N+Sg+Nom
njettipäinee	njettipäinee+N+Sg+Nom

njolgáá	njolgáá+A+Sg+Nom


njorriđ	njorriđ+V+Inf
njorriđ	njorriđ+V+Imprt+Pl2

njunepuároi	njune+N+Cmp/SgGen+Cmp#puárui+N+Sg+Nom
njunepuároi	njune+N+Cmp/SgNom+Cmp#puárui+N+Sg+Nom
njunepuároi	njunepuárui+N+Sg+Nom

njuorâshuášši	njuorâs+A+Cmp/Attr+Cmp#huášši+N+Sg+Nom
njuorâshuášši	njuorâshuášši+N+Sg+Nom






nocce	nocce+N+Sg+Nom




nuorttâsuormâlostâ	nuorttâ+N+Cmp/SgNom+Cmp#suormâ+N+Cmp/SgNom+Cmp#lostâ+N+Sg+Nom
nuorttâsuormâlostâ	nuorttâ+N+Cmp/SgNom+Cmp#suormâ+N+Cmp/SgGen+Cmp#lostâ+N+Sg+Nom
nuorttâsuormâlostâ	nuorttâsuormâlostâ+N+Sg+Nom

nurváđ	nurváđ+V+Inf
nurváđ	nurváđ+V+Imprt+Pl2

nuáigunartte	nuáigunartte+N+Sg+Nom

nyettiulgâ	nyetti+N+Cmp/SgNom+Cmp#ulgâ+N+Sg+Nom
nyettiulgâ	nyettiulgâ+N+Sg+Nom





okkosâš	okkosâš+A+Sg+Nom
okkosâš	okkosâš+A+Attr


olesmonnjâvavnu	oles+A+Cmp/Attr+Cmp#monnjâ+A+Cmp/Attr+Cmp#vavnu+N+Sg+Nom
olesmonnjâvavnu	oles+N+Cmp/SgNom+Cmp#monnjâ+A+Cmp/Attr+Cmp#vavnu+N+Sg+Nom
olesmonnjâvavnu	olesmonnjâvavnu+N+Sg+Nom


ollâárvusâš	ollâárvusâš+A+Sg+Nom
ollâárvusâš	ollâárvusâš+A+Attr


oovdebpeivi	oovdebpeivi+N+Sg+Nom

oovtnummeersâš	oovtnummeersâš+A+Sg+Nom
oovtnummeersâš	oovtnummeersâš+A+Attr

orespeeci	ores+N+Cmp/SgNom+Cmp#peeci+N+Sg+Nom
orespeeci	orespeeci+N+Sg+Nom

paalgâd	palgâđ+V+Der/d+V+Ind+Prs+ConNeg
paalgâd	palgâđ+V+Der/d+V+Ind+Prs+Sg3
paalgâd	palgâđ+V+Der/d+V+Imprt+Sg2


pajedistiđ	pajediđ+V+Der/st+V+Inf
pajedistiđ	pajedistiđ+V+Inf


pakkâstielâs	pakkâ+N+Cmp/SgNom+Cmp#stielâs+N+Sg+Nom
pakkâstielâs	pakkâstielâs+N+Sg+Nom



paskooh	paskođ+V+Pot+Prs+Sg2
paskooh	paskooh+N+Sg+Nom

peeti	pettiđ+V+Ind+Prs+ConNeg
peeti	pettiđ+V+Imprt+Sg2

peeđi	peeđi+N+Sg+Nom

pelkkiđ	pelkkiđ+V+Inf
pelkkiđ	pelkkiđ+V+Imprt+Pl2



piccum	piiccâđ+V+Der/Pass+V+IV+PrfPrc
piccum	piiccâđ+V+Der/Pass+V+IV+Actio+Nom
piccum	piiccâđ+V+Der/Pass+V+IV+Ind+Prt+ConNeg
piccum	piccuđ+V+PrfPrc
piccum	piccuđ+V+Ind+Prt+ConNeg
piccum	piccuđ+V+Actio+Nom
piccum	piccuđ+V+Der/NomAct+N+Sg+Nom
piccum	piccoođ+V+Der/Pass+V+IV+PrfPrc
piccum	piccoođ+V+Der/Pass+V+IV+Actio+Nom
piccum	piccoođ+V+Der/Pass+V+IV+Ind+Prt+ConNeg
piccum	piccoođ+V+Ind+Prt+Sg1

piccuđ	piiccâđ+V+Der/Pass+V+IV+Inf
piccuđ	piccuđ+V+Inf
piccuđ	piccuđ+V+Imprt+Pl2
piccuđ	piccoođ+V+Der/Pass+V+IV+Inf


piemmee	piemmâđ+V+PrsPrc
piemmee	piemmâđ+V+V+Der/NomAg+N+Sg+Nom
piemmee	piemmâđ+V+Imprt+Du2

piettih	piettih+N+Sg+Nom

pippârtatti	pippâr+N+Cmp/SgGen+Cmp#tatti+N+Sg+Nom
